Country,Region,Lifeexpectancyatbirth,Gross_national_income_percapita,Totalfertilityrate,Meanyearsofschooling,Population25Older_SomeSecondaryEducation,MaternalMortality_per100Kbirths,2011_PPP_GDP_billions,AnnualGrowthPPP_GDP_pct,PctInternetUsers,PctMobilePhone,PctWomenWBankAcct_orMobileMoneyProvider,MandatoryPaidMatLeave_Days,Female_Est_GNI__2011USD,Male_Est_GNI_2011USD,FemaleLaborForcePartRate_15orOlder,MaleLaborForcePartRate_15orOlder,Female_LifeExp,MaleLifeExp,FemaleMeanYrsSchool,MaleYrsSchool,Women_PctSeatsinparliament,BirthRate_PerK_Ages15_19,FossilFuelPercent,RenewableEnergyFinalPct,PerCapitaCO2_emissions,ForestPctOfTotalLand,PctChangeForest,IncomeShareBottom40pct,IncomeShareofTop10pct,IncomeShareTop1pct
Micronesia (Federated States of),oceania,67.8,"3,700",3.1,7.7,..,100,0.4,0.3,..,..,..,..,..,..,..,..,69.5,66.1,..,..,0.0,13.9,..,1.19624,..,91.85715,..,16.2,29.7,..
Sao Tome and Principe,africa,70.2,"3,024",4.4,6.4,40.8,156,0.6,0.7,29.9,77.1,..,98,"1,885","4,162",43.3,76.2,72.6,67.8,5.7,7.2,14.5,94.6,..,41.056,..,55.83333,-4.28571701,21.1,24.2,..
Congo,africa,64.3,"5,804",4.5,6.5,48.8,442,26.3,-1.5,8.7,98.9,21.0,105,"4,989","6,621",66.9,71.6,65.7,62.8,6.1,7.5,14.0,112.2,40.4806,62.40212,0.53202211,65.35461,-1.792662108,12.4,37.9,..
Eswatini (Kingdom of),africa,59.4,"9,359",3.0,6.7,32.6,389,10.8,-0.4,47.0,93.5,27.4,14,"7,030","11,798",41.4,65.9,64.0,55.3,6.3,7.2,12.1,76.7,..,66.10466,..,34.33721,25.12711347,11.5,40,..
Lao People's Democratic Republic,asia,67.6,"6,317",2.7,5.2,40.4,197,46.7,4.9,25.5,51.9,31.9,105,"5,027","7,595",76.8,79.7,69.4,65.8,4.8,5.6,27.5,65.4,..,59.31586,..,82.10823,7.399756636,19.1,29.8,..
Vanuatu,oceania,70.3,"2,808",3.8,6.8,..,78,0.8,0.7,25.7,79.9,..,84,"2,185","3,413",61.5,79.6,72.0,68.8,..,..,0.0,49.4,..,36.11106,..,36.09516,0,17.8,29.4,..
Ghana,africa,63.8,"4,099",3.9,7.2,63.1,319,125.4,4.0,39.0,137.5,53.7,84,"3,287","4,889",63.6,71.5,64.9,62.7,6.4,7.9,12.7,66.6,52.54306,41.41279,0.448564872,41.15936,8.559179212,14.3,32.2,..
Zambia,africa,63.5,"3,582",4.7,7.1,44.3,224,65.0,0.8,14.3,89.2,40.3,84,"3,011","4,164",70.8,79.8,66.4,60.5,6.7,7.5,18.0,120.1,10.56332,87.98545,0.222691316,65.19915,-8.203790838,8.9,44.4,..
Equatorial Guinea,africa,58.4,"17,796",4.6,5.6,..,342,27.3,-6.4,26.2,45.2,..,84,"12,781","21,809",55.2,67.1,59.6,57.4,3.9,7.2,18.0,155.6,..,7.8228,..,55.48663,-16.32257933,..,..,..
Myanmar,asia,66.9,"5,764",2.2,5.0,25.8,178,318.1,5.6,30.7,113.8,26.0,98,"3,613","8,076",47.7,77.3,69.9,63.8,5.0,4.9,10.2,28.5,44.2899,61.52781,0.397566596,43.6311,-27.29188149,18.6,31.7,..
Cambodia,asia,69.6,"3,597",2.5,4.8,21.3,161,62.9,5.9,40.0,119.5,21.5,90,"3,129","4,089",75.2,87.6,71.6,67.3,4.1,5.7,19.3,50.2,30.62908,64.92378,0.589041482,52.85293,-27.92336519,..,..,..
Kenya,africa,66.3,"3,052",3.5,6.6,35.2,510,158.1,3.9,17.8,96.3,77.7,90,"2,619","3,490",63.6,69.1,68.7,64.0,6.0,7.2,23.3,75.1,17.37957,72.66275,0.319969606,7.81811,-5.808634681,16.5,31.6,..
Nepal,asia,70.5,"2,748",1.9,4.9,35.9,258,76.5,4.5,..,139.4,41.6,52,"2,113","3,510",81.7,84.4,71.9,69.0,3.6,6.4,33.5,65.1,15.48268,85.26396,0.311772916,25.36449,-24.70163115,20.4,26.4,..
Angola,africa,60.8,"5,555",5.6,5.1,30.2,477,176.4,-5.3,14.3,43.1,22.3,90,"4,720","6,407",75.4,80.1,63.7,58.1,4.0,6.4,30.5,150.5,48.30559,49.56821,0.677888791,46.30721,-5.321439224,15,32.3,..
Cameroon,africa,58.9,"3,291",4.6,6.3,37.2,596,84.5,1.2,23.2,69.1,30.0,98,"2,724","3,858",71.2,81.4,60.2,57.7,4.8,7.8,29.3,105.8,38.31786,76.5384,0.255490229,39.33913,-23.52360586,13,35,..
Zimbabwe,africa,61.2,"2,661",3.6,8.3,58.7,443,38.8,4.7,27.1,89.4,51.7,98,"2,280","3,080",78.6,89.0,62.6,59.5,7.6,9.0,34.3,86.1,29.09576,81.79781,0.736475854,35.54246,-37.96426814,15.3,33.8,..
Pakistan,asia,67.1,"5,190",3.6,5.2,37.2,178,"1,045.8",3.3,15.5,72.6,7.0,84,"1,570","8,605",23.9,81.5,68.1,66.2,3.8,6.5,20.0,38.8,61.58536,46.47632,0.753214069,1.85373,-43.45073209,21.1,28.9,..
Solomon Islands,oceania,72.8,"2,027",4.4,5.5,..,114,1.4,0.7,11.9,73.8,..,84,"1,569","2,469",62.4,80.3,74.7,71.2,..,..,2.0,78.0,..,63.30745,..,77.86352,-6.222035183,18.4,29.2,..
Syrian Arab Republic,middleeast,71.8,"2,725",2.8,5.1,41.0,68,..,..,34.3,98.4,19.6,120,656,"4,779",12.0,70.3,77.8,66.6,4.6,5.6,13.2,38.6,97.79178,0.52116,1.493967419,2.67386,32.09706405,..,..,14.7
Papua New Guinea,oceania,64.3,"3,686",3.6,4.6,12.5,215,32.9,-1.5,11.2,47.6,..,0,"3,248","4,106",46.0,47.6,65.6,63.0,3.9,5.4,0.0,52.7,..,52.49865,..,74.0984,-0.210547421,15.1,31,..
Comoros,africa,64.1,"2,426",4.2,4.9,..,335,2.1,0.5,8.5,59.9,17.9,98,"1,812","3,030",37.4,50.7,65.9,62.4,3.9,5.9,6.1,65.4,..,45.33305,..,19.66684,-25.30612556,13.6,33.7,..
Rwanda,africa,68.7,"1,959",4.1,4.4,16.3,290,24.6,5.8,21.8,78.9,45.0,84,"1,708","2,218",84.2,83.6,70.8,66.5,3.9,4.9,55.7,39.1,..,86.65537,..,19.73247,53.08175717,15.8,35.6,..
Nigeria,africa,54.3,"5,086",5.4,6.5,..,814,"1,041.2",-0.7,42.0,88.2,27.3,84,"4,313","5,838",50.6,59.8,55.2,53.5,5.3,7.6,5.8,107.3,18.87677,86.63562,0.462432182,7.22839,-61.79993094,15.1,32.7,..
Tanzania (United Republic of),africa,65.0,"2,805",4.9,6.0,14.3,398,156.8,2.1,25.0,77.2,42.2,84,"2,436","3,175",79.4,87.2,66.8,63.2,5.6,6.4,37.2,118.4,14.38062,85.71304,0.199625895,51.57823,-18.29756795,18.5,31,..
Uganda,africa,63.0,"1,752",5.0,6.1,32.1,343,77.2,2.2,23.7,57.3,52.7,84,"1,272","2,247",67.2,75.0,65.2,60.7,4.8,7.4,34.3,118.8,..,89.05795,..,9.68382,-59.27332067,15.9,34.2,..
Mauritania,africa,64.7,"3,746",4.6,4.6,18.8,602,16.4,0.8,20.8,103.7,15.5,98,"2,018","5,462",29.2,63.2,66.3,63.1,3.7,5.5,20.3,71.0,..,32.15957,..,0.21442,-46.74698795,19.9,24.9,..
Madagascar,africa,66.7,"1,404",4.1,6.1,..,353,38.1,2.4,9.8,40.6,16.3,98,"1,119","1,690",83.6,89.3,68.3,65.1,6.4,5.8,19.6,109.6,..,70.17442,..,21.41114,-9.060523633,15.7,33.5,..
Benin,africa,61.5,"2,135",4.9,3.8,26.5,405,24.7,4.0,20.0,82.4,28.6,98,"1,863","2,407",69.2,73.3,63.0,59.9,3.0,4.4,7.2,86.1,36.72458,50.86262,0.523819628,37.78822,-26.03714633,12.8,37.6,..
Lesotho,africa,53.7,"3,244",3.2,6.3,30.0,487,6.0,0.7,29.0,113.8,46.5,84,"2,641","3,864",59.8,74.9,57.0,50.6,7.0,5.5,22.7,92.7,..,52.13921,..,1.6469,25,9.6,40.9,..
Côte d'Ivoire,africa,57.4,"3,589",4.7,5.2,26.1,645,93.6,4.7,46.8,134.9,35.6,98,"1,790","5,355",48.3,66.0,58.7,56.3,4.1,6.3,9.2,117.6,26.49233,64.52803,0.432612338,32.70629,1.747208074,15.9,31.9,17.1
Senegal,africa,67.7,"3,256",4.7,3.1,17.6,315,53.2,3.8,46.0,104.5,38.4,98,"2,173","4,396",35.2,58.6,69.6,65.5,1.8,4.4,41.8,72.7,53.90912,42.71175,0.544235146,42.76217,-11.92768507,16.4,31,..
Togo,africa,60.8,"1,593",4.4,4.9,40.5,368,12.4,2.3,12.4,77.9,37.6,98,"1,200","1,989",76.1,79.3,61.6,59.9,3.3,6.6,17.6,89.1,17.80063,71.26467,0.260188116,3.09248,-75.44525592,14.5,31.6,..
Sudan,africa,65.1,"3,962",4.4,3.7,17.5,311,176.8,-4.6,30.9,72.0,10.0,56,"1,759","6,168",24.5,70.3,66.9,63.3,3.2,4.2,31.0,64.0,31.72653,61.59675,0.473681634,..,..,18.5,26.7,..
Haiti,caribbean,63.7,"1,665",3.0,5.4,33.2,359,18.4,0.2,32.5,57.5,30.0,42,"1,388","1,949",63.3,72.8,65.8,61.5,4.3,6.6,2.7,51.7,22.01589,76.07221,0.299816328,3.49057,-17.06896815,15.8,31.2,..
Afghanistan,asia,64.5,"1,746",4.6,3.9,26.1,396,64.5,-1.4,13.5,59.1,7.2,90,"1,102","2,355",48.7,82.1,66.0,63.0,1.9,6.0,27.4,69.0,..,18.42348,..,2.06782,0,..,..,..
Djibouti,africa,66.6,"3,601",2.8,4.0,..,229,..,4.3,55.7,41.2,8.8,98,"2,900","4,232",54.8,71.1,68.8,64.6,..,..,26.2,18.8,..,15.3806,..,0.24159,0,15.8,32.3,..
Malawi,africa,63.8,"1,159",4.3,4.6,21.8,634,21.1,0.8,13.8,39.0,29.8,56,925,"1,400",72.9,82.0,66.9,60.7,4.1,5.1,16.7,132.7,..,83.64943,..,33.18838,-19.68685832,16.2,38.1,..
Ethiopia,africa,66.2,"1,782",4.3,2.8,17.1,353,196.0,4.0,18.6,37.2,29.1,90,"1,333","2,231",74.2,86.5,68.2,64.4,1.6,3.9,37.3,66.7,6.56981,92.16346,0.105488753,12.5396,..,17.6,31.4,..
Gambia,africa,61.7,"1,490",5.3,3.7,36.8,706,3.5,3.5,19.8,139.5,..,180,800,"2,190",51.7,67.7,63.2,60.4,3.0,4.3,10.3,78.2,..,51.50886,..,48.37945,10.76923215,19,28.7,..
Guinea,africa,61.2,"2,211",4.7,2.7,11.7,679,29.0,5.6,18.0,96.1,19.7,98,"1,878","2,569",64.1,65.1,61.7,60.5,1.5,3.9,21.9,135.3,..,76.26839,..,25.75289,-12.88546256,19.8,26.4,..
Liberia,africa,63.7,"1,040",4.4,4.7,29.0,725,5.6,-1.2,8.0,56.6,28.2,98,"1,051","1,030",54.7,57.5,65.1,62.3,3.5,5.9,11.7,136.0,..,83.84704,..,43.07517,-15.82471089,18.8,27.1,..
Yemen,middleeast,66.1,"1,433",3.8,3.2,28.0,385,65.1,-5.0,26.7,55.2,1.7,70,168,"2,679",6.0,70.8,67.8,64.4,1.9,4.4,0.5,60.4,98.4885,2.27642,0.339220018,1.03983,0,18.8,29.4,15.7
Guinea-Bissau,africa,58.0,"1,593",4.5,3.3,..,549,3.0,1.2,3.9,79.0,..,60,"1,305","1,895",67.3,78.9,59.9,56.0,..,..,13.7,104.8,..,86.85179,..,69.7724,-11.46209386,12.8,42,..
Congo (Democratic Republic of the),africa,60.4,800,6.0,6.8,50.7,693,69.5,2.4,8.6,43.4,24.2,98,684,917,60.8,66.5,61.9,58.9,5.3,8.4,8.2,124.2,5.35581,95.8177,0.025117679,67.16508,-5.048799443,15.5,32,..
Mozambique,africa,60.2,"1,154",4.9,3.5,19.3,489,34.8,0.3,10.0,47.7,32.9,60,"1,031","1,284",77.5,79.6,63.0,57.1,2.5,4.6,39.6,148.6,12.61995,86.40051,0.259828103,47.98393,-13.01212236,11.8,45.5,..
Sierra Leone,africa,54.3,"1,381",4.3,3.6,26.3,"1,360",10.9,1.5,9.0,88.5,15.4,84,"1,238","1,525",57.7,58.5,55.1,53.5,2.8,4.4,12.3,112.8,..,77.66056,..,43.05348,-0.333544014,19.8,26.9,..
